Date,Actual,Predicted
2023-06-18,76.76,76.63276
2023-06-19,76.09,76.461586
2023-06-20,75.79,76.64193
2023-06-21,76.92,76.851135
2023-06-22,73.93,76.61143
2023-06-23,73.56,74.04863
2023-06-24,73.56,72.43513
2023-06-25,73.56,73.38529
2023-06-26,73.86,70.84187
2023-06-27,71.88,73.27336
2023-06-28,73.64,71.77594
2023-06-29,73.86,75.32865
2023-06-30,74.51,73.14246
2023-07-01,74.51,73.2876
2023-07-02,74.51,74.80982
2023-07-03,74.52,74.40036
2023-07-04,76.23,75.73139
2023-07-05,76.74,76.10184
2023-07-06,76.72,76.842995
2023-07-07,78.77,76.49415
2023-07-08,78.77,78.11337
2023-07-09,78.77,77.278366
2023-07-10,77.83,77.948586
2023-07-11,79.54,80.279045
2023-07-12,80.35,78.13095
2023-07-13,81.31,80.67231
2023-07-14,79.9,80.76648
2023-07-15,79.9,80.64218
2023-07-16,79.9,80.05419
2023-07-17,77.8,79.048454
2023-07-18,79.54,76.57225
2023-07-19,79.38,78.78405
2023-07-20,79.62,78.91345
2023-07-21,81.06,78.51504
2023-07-22,81.06,81.38243
2023-07-23,81.06,80.73524
2023-07-24,82.53,81.32935
2023-07-25,83.46,82.075066
2023-07-26,82.98,82.811646
2023-07-27,84.28,83.35983
2023-07-28,84.49,78.08121
2023-07-29,84.49,83.238686
2023-07-30,84.49,84.20023
2023-07-31,85.22,85.02652
2023-08-01,85.34,85.9532
2023-08-02,84.01,86.52842
2023-08-03,86.19,85.33156
2023-08-04,87.38,87.57139
2023-08-05,87.38,86.017494
2023-08-06,87.38,86.22001
2023-08-07,86.47,86.83491
2023-08-08,88.0,87.35919
2023-08-09,89.31,87.35919
2023-08-10,87.44,89.66563
2023-08-11,87.93,87.91388
2023-08-12,87.93,87.070076
2023-08-13,87.93,90.39821
2023-08-14,87.4,87.33489
2023-08-15,86.28,87.35919
2023-08-16,84.49,87.35919
2023-08-17,85.24,84.01723
2023-08-18,85.92,85.4818
2023-08-19,85.92,85.81371
2023-08-20,85.92,84.526695
2023-08-21,85.44,85.66102
2023-08-22,84.7,85.35395
2023-08-23,83.94,84.29915
2023-08-24,84.07,83.82188
2023-08-25,85.42,82.778984
2023-08-26,85.42,84.43906
2023-08-27,85.42,86.52842
2023-08-28,85.42,84.636635
2023-08-29,86.37,85.66102
2023-08-30,86.62,85.57971
2023-08-31,87.29,87.127266
2023-09-01,89.98,87.707794
2023-09-02,89.98,90.6779
2023-09-03,89.98,90.91905
2023-09-04,90.42,90.91767
2023-09-05,91.25,92.464134
2023-09-06,91.79,90.86036
2023-09-07,91.16,91.61864
2023-09-08,91.85,91.75512
2023-09-09,91.85,93.25314
2023-09-10,91.85,92.404526
2023-09-11,91.97,92.25169
2023-09-12,93.58,93.229164
2023-09-13,93.04,94.57944
2023-09-14,95.2,94.75038
2023-09-15,95.55,94.548
2023-09-16,95.55,94.58191
2023-09-17,95.55,93.44646
2023-09-18,95.95,94.763885
2023-09-19,96.11,97.81695
2023-09-20,94.56,96.769226
2023-09-21,93.7,97.19637
2023-09-22,93.99,93.3941
2023-09-23,93.99,93.8408
2023-09-24,93.99,93.02382
2023-09-25,94.01,92.147385
2023-09-26,94.46,93.526955
2023-09-27,97.1,93.4911
2023-09-28,96.64,97.52726
2023-09-29,95.86,95.1991
2023-09-30,95.86,94.53104
2023-10-01,95.86,94.08824
2023-10-02,91.21,92.901665
2023-10-03,94.46,85.868195
2023-10-04,89.83,95.85579
2023-10-05,88.28,88.79857
2023-10-06,87.86,90.49721
2023-10-07,87.86,87.17288
2023-10-08,87.86,91.55579
2023-10-09,91.37,87.33489
2023-10-10,90.7,91.248764
2023-10-11,87.58,90.91905
2023-10-12,88.4,88.25927
2023-10-13,94.33,88.466
2023-10-14,94.33,95.31002
2023-10-15,94.33,95.16916
2023-10-16,90.99,98.9007
2023-10-17,92.52,93.03758
2023-10-18,91.99,93.06489
2023-10-19,93.12,92.41769
2023-10-20,93.72,88.98909
2023-10-21,93.72,93.279755
2023-10-22,93.72,93.983505
2023-10-23,91.88,92.23464
2023-10-24,88.0,89.78634
2023-10-25,90.14,89.07931
2023-10-26,88.45,90.6018
2023-10-27,90.73,88.55236
2023-10-28,90.73,91.79674
2023-10-29,90.73,90.49079
2023-10-30,90.73,91.9851
2023-10-31,86.82,92.464134
2023-11-01,86.92,88.6735
2023-11-02,89.02,88.65008
2023-11-03,87.55,90.39421
2023-11-04,87.55,87.81397
2023-11-05,87.55,87.070076
2023-11-06,87.31,90.39821
2023-11-07,83.43,87.33489
2023-11-08,81.46,79.91694
2023-11-09,81.74,77.79171
2023-11-10,83.66,79.635826
2023-11-11,83.66,83.06926
2023-11-12,83.66,83.252106
2023-11-13,84.09,78.467026
2023-11-14,84.2,82.928505
2023-11-15,82.4,82.9398
2023-11-16,77.73,81.87674
2023-11-17,81.22,78.208244
2023-11-18,81.22,81.84455
2023-11-19,81.22,81.780106
2023-11-20,83.25,79.86274
2023-11-21,82.42,82.75432
2023-11-22,81.76,81.98242
2023-11-23,80.85,72.357956
2023-11-24,79.82,83.0152
2023-11-25,79.82,80.7126
2023-11-26,79.82,80.61898
2023-11-27,79.49,81.44694
2023-11-28,81.66,78.18407
2023-11-29,82.98,79.68462
2023-11-30,81.72,82.46913
2023-12-01,78.72,82.82068
2023-12-02,78.72,73.23108
2023-12-03,78.72,79.03014
2023-12-04,78.16,80.10347
2023-12-05,77.27,77.050995
2023-12-06,74.33,78.469025
2023-12-07,74.21,74.792915
2023-12-08,75.94,74.16058
2023-12-09,75.94,76.65288
2023-12-10,75.94,75.38641
2023-12-11,75.75,76.689156
2023-12-12,74.11,75.72449
2023-12-13,74.14,74.459305
2023-12-14,77.05,73.57132
2023-12-15,76.84,76.88706
2023-12-16,76.84,74.98116
2023-12-17,76.84,76.30096
2023-12-18,78.89,77.02994
2023-12-19,79.82,78.663574
2023-12-20,81.1,79.0813
2023-12-21,80.73,81.1121
2023-12-22,80.23,80.92421
2023-12-23,80.23,80.95773
2023-12-24,80.23,80.45625
2023-12-25,80.23,79.77153
2023-12-26,80.23,79.77153
2023-12-27,80.97,79.77153
